key,instantiation_moment,display_period_begin,display_period_finish,picture_link,slogan,web_link
banner-01,2020/01/01 11:00,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/hvkP1SwR/template-1.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-02,2020/01/01 00:00,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/hvkP1SwR/template-1.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-03,2020/01/01 11:59,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/hvkP1SwR/template-1.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-04,2020/01/01 12:00,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/hvkP1SwR/template-1.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-05,2020/01/01 12:01,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/hvkP1SwR/template-1.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-06,2020/01/01 23:59,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/jj6KZrf0/Ad2.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-07,2020/12/31 23:59,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/jj6KZrf0/Ad2.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-08,2020/01/01 00:00,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/jj6KZrf0/Ad2.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-09,2020/12/31 00:00,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/jj6KZrf0/Ad2.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-10,2020/12/31 00:01,2021/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/jj6KZrf0/Ad2.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-11,2000/01/01 00:00,2000/01/01 00:01,2000/01/08 00:01,https://i.postimg.cc/zXWJVWfG/ad3.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-12,2000/01/01 00:01,2000/01/01 00:02,2000/01/08 00:02,https://i.postimg.cc/zXWJVWfG/ad3.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-13,2022/07/30 00:00,2022/08/30 00:00,2100/12/31 23:58,https://i.postimg.cc/zXWJVWfG/ad3.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-14,2022/07/29 23:59,2022/08/30 00:00,2100/12/31 23:59,https://i.postimg.cc/zXWJVWfG/ad3.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-15,2020/01/01 11:00,2021/01/01 00:00,2022/09/01 11:00,https://i.postimg.cc/zXWJVWfG/ad3.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-16,2020/01/01 11:00,2021/01/01 11:59,2022/09/01 11:00,https://i.postimg.cc/W49VQw5X/Ad4.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-17,2020/01/01 11:00,2021/01/01 12:00,2022/09/01 11:00,https://i.postimg.cc/W49VQw5X/Ad4.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-18,2020/01/01 11:00,2021/01/01 12:01,2022/09/01 11:00,https://i.postimg.cc/W49VQw5X/Ad4.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-19,2020/01/01 11:00,2021/01/01 23:59,2022/09/01 11:00,https://i.postimg.cc/W49VQw5X/Ad4.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-20,2020/01/01 11:00,2021/12/31 23:59,2022/09/01 11:00,https://i.postimg.cc/W49VQw5X/Ad4.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-21,2020/01/01 11:00,2021/01/01 00:00,2022/09/01 11:00,https://i.postimg.cc/XYRd99f1/Ad5.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-22,2020/01/01 11:00,2021/12/31 00:00,2022/09/01 11:00,https://i.postimg.cc/XYRd99f1/Ad5.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-23,2020/01/01 11:00,2021/12/31 00:01,2022/09/01 11:00,https://i.postimg.cc/XYRd99f1/Ad5.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-24,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 00:00,https://i.postimg.cc/XYRd99f1/Ad5.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-25,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 11:59,https://i.postimg.cc/XYRd99f1/Ad5.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-26,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 12:00,https://i.postimg.cc/HLLncxKv/Ad6.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-27,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 12:01,https://i.postimg.cc/HLLncxKv/Ad6.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-28,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 23:59,https://i.postimg.cc/HLLncxKv/Ad6.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-29,2020/01/01 11:00,2021/06/01 11:00,2023/12/31 23:59,https://i.postimg.cc/HLLncxKv/Ad6.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-30,2020/01/01 11:00,2021/06/01 11:00,2023/01/01 00:00,https://i.postimg.cc/HLLncxKv/Ad6.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-31,2020/01/01 11:00,2021/06/01 11:00,2023/12/31 00:00,https://i.postimg.cc/3wWrrq4P/Ad7.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-32,2020/01/01 11:00,2021/06/01 11:00,2023/12/31 00:00,https://i.postimg.cc/3wWrrq4P/Ad7.jpg,Example slogan,https://github.com/Alejandrocg024/Acme-L3-D02
banner-33,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/3wWrrq4P/Ad7.jpg,S,https://github.com/Alejandrocg024/Acme-L3-D02
banner-34,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/3wWrrq4P/Ad7.jpg,Sl,https://github.com/Alejandrocg024/Acme-L3-D02
banner-35,2020/01/01 11:00,2022/06/01 11:00,2022/09/01 11:00,https://i.postimg.cc/3wWrrq4P/Ad7.jpg,El mensaje tiene setenta y cuatro caracteres valida cadenas de longitud75.,https://github.com/Alejandrocg024/Acme-L3-D02
