key,key:course,key:lecture
course-lecture-02,course-01,lecture-02
course-lecture-03,course-01,lecture-03
course-lecture-05,course-01,lecture-04
course-lecture-06,course-02,lecture-04
course-lecture-08,course-02,lecture-05
course-lecture-09,course-01,lecture-10
course-lecture-10,course-01,lecture-09
course-lecture-11,course-03,lecture-11
course-lecture-12,course-03,lecture-08
course-lecture-13,course-01,lecture-07
course-lecture-14,course-03,lecture-06
course-lecture-15,course-01,lecture-05
course-lecture-16,course-05,lecture-04
course-lecture-17,course-07,lecture-04
course-lecture-18,course-08,lecture-04
course-lecture-19,course-10,lecture-18
course-lecture-20,course-10,lecture-19
course-lecture-21,course-01,lecture-20
course-lecture-22,course-02,lecture-19
course-lecture-23,course-01,lecture-19
course-lecture-24,course-01,lecture-18
course-lecture-25,course-03,lecture-17
course-lecture-26,course-03,lecture-16
course-lecture-27,course-03,lecture-15
course-lecture-28,course-01,lecture-23
course-lecture-31,course-31,lecture-23
course-lecture-32,course-32,lecture-23
course-lecture-34,course-32,lecture-25
course-lecture-35,course-33,lecture-23
course-lecture-37,course-34,lecture-33
course-lecture-38,course-38,lecture-27
course-lecture-39,course-38,lecture-26
course-lecture-40,course-38,lecture-02
course-lecture-41,course-38,lecture-04
course-lecture-42,course-38,lecture-05
course-lecture-43,course-38,lecture-03
course-lecture-44,course-38,lecture-09
course-lecture-45,course-38,lecture-29
course-lecture-46,course-38,lecture-08
course-lecture-47,course-38,lecture-28
course-lecture-48,course-38,lecture-25
course-lecture-50,course-38,lecture-23
course-lecture-52,course-38,lecture-21
course-lecture-53,course-38,lecture-22
course-lecture-54,course-38,lecture-20
course-lecture-55,course-38,lecture-18
course-lecture-56,course-38,lecture-19
course-lecture-57,course-38,lecture-16
course-lecture-58,course-38,lecture-01
course-lecture-59,course-38,lecture-17
course-lecture-60,course-02,lecture-23
course-lecture-61,course-03,lecture-23
course-lecture-62,course-05,lecture-23
course-lecture-63,course-37,lecture-23
course-lecture-64,course-04,lecture-23
