key,alma_mater,resume,list_of_qualifications,further_information,key:userAccount
lecturer-01, José, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",null,user-account-lecturer-01
lecturer-02, J, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",null,user-account-lecturer-02
lecturer-03, Jo, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",null,user-account-lecturer-03
lecturer-04, El mensaje tiene setenta y cuatro caracteres valida cadenas de longitud75, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",null,user-account-lecturer-04
lecturer-05, Este mensaje tiene setenta y cinco caracteres se usa para validar mensajes, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",null,user-account-lecturer-05
lecturer-06, коза, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",null,user-account-lecturer-06
lecturer-07, თხა,U, "B2Ingles, B2Italiano",null,user-account-lecturer-07
lecturer-08, José,Un, "B2Ingles, B2Italiano",null,user-account-lecturer-08
lecturer-09, José,Este mensaje tiene noventa y nueve caracteres usado para validar cadenas con maximo 100 caracteres, "B2Ingles, B2Italiano",null,user-account-lecturer-09
lecturer-10, José,Este mensaje tiene cien caracteres usado para validar cadenas de cien caracteres de longitud maxima, "B2Ingles, B2Italiano",null,user-account-lecturer-10
lecturer-11, José,коза, "B2Ingles, B2Italiano",null,user-account-lecturer-11
lecturer-12, José,თხა, "B2Ingles, B2Italiano",null,user-account-lecturer-12
lecturer-13, José, Uno de los mejores profesores del mundo,A,null,user-account-lecturer-13
lecturer-14, José, Uno de los mejores profesores del mundo,B2,null,user-account-lecturer-14
lecturer-15, José, Uno de los mejores profesores del mundo,Este mensaje tiene noventa y nueve caracteres usado para validar cadenas con maximo 100 caracteres,null,user-account-lecturer-15
lecturer-16, José, Uno de los mejores profesores del mundo,Este mensaje tiene cien caracteres usado para validar cadenas de cien caracteres de longitud maxima,null,user-account-lecturer-16
lecturer-17, José, Uno de los mejores profesores del mundo, коза,null,user-account-lecturer-17
lecturer-18, José, Uno de los mejores profesores del mundo, თხა,null,user-account-lecturer-18
lecturer-19, José, Uno de los mejores profesores del mundo, "B2Ingles, B2Italiano",https://github.com/Alejandrocg024/Acme-L3-D02,user-account-lecturer-19
