key,title,abstract$,start_period,end_period,further_information_link,addendum,key:practicum
practicum-session-01,Sesión de práctica,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-02,S,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-03,Se,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-04,Este título para la sesión de la práctica tiene setenta y cinco caracteres.,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-05,Estamos ante un título de una sesión que tiene setenta y cuatro caracteres,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-06,實用會議,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-07,Πρακτική συνεδρίαση,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-08,<script>alert("hi!")</script>,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-09,<h1>Hola Mundo!</h1>,Esto es una sesión de práctica profesional.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-10,Sesión de práctica,R,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-11,Sesión de práctica,Re,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-12,Sesión de práctica,Nos encontramos ante un resumen de cien caracteres para esta concreta sesión de práctica profesional,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-13,Sesión de práctica,Estamos ante el resumen sobre esta sesión de práctica profesional tiene noventa y nueve caracteres.,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-14,Sesión de práctica,練習摘要,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-15,Sesión de práctica,Περίληψη της συνεδρίας πρακτικής,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
practicum-session-16,Sesión de práctica,<script>alert("hi!")</script>,2021/08/21 17:00,2021/09/12 17:00,https://github.com/Alejandrocg024/Acme-L3-D02,false,practicum-01
